id_file,date,venue,team1,team2,toss_winner,toss_decision,match_winner
1324644,2022-12-30,"GMHBA Stadium, South Geelong, Victoria",Melbourne Renegades,Sydney Sixers,Melbourne Renegades,bat,Sydney Sixers
1324645,2022-12-31,"Lavington Sports Oval, Albury",Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Thunder
1324646,2022-12-31,Adelaide Oval,Melbourne Stars,Adelaide Strikers,Melbourne Stars,bat,Melbourne Stars
1324647,2023-01-01,"Docklands Stadium, Melbourne",Melbourne Renegades,Perth Scorchers,Melbourne Renegades,bat,Perth Scorchers
1324648,2023-01-01,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,Brisbane Heat
1324649,2023-01-02,"Bellerive Oval, Hobart",Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Hobart Hurricanes
1324650,2023-01-03,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Renegades
1324652,2023-01-04,Perth Stadium,Perth Scorchers,Sydney Thunder,Perth Scorchers,bat,Sydney Thunder
1324653,2023-01-05,Adelaide Oval,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
1324654,2023-01-06,Melbourne Cricket Ground,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1324655,2023-01-07,"Docklands Stadium, Melbourne",Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
1324656,2023-01-07,Perth Stadium,Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
1324657,2023-01-08,Sydney Showground Stadium,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1324658,2023-01-09,"Bellerive Oval, Hobart",Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1324659,2023-01-10,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,field,Adelaide Strikers
1324660,2023-01-11,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
1324661,2023-01-12,Melbourne Cricket Ground,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
1324662,2023-01-13,Sydney Showground Stadium,Sydney Thunder,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
1324663,2023-01-14,Adelaide Oval,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,field,Brisbane Heat
1324664,2023-01-14,"Docklands Stadium, Melbourne",Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Renegades
1324665,2023-01-15,"Bellerive Oval, Hobart",Sydney Thunder,Hobart Hurricanes,Sydney Thunder,bat,Hobart Hurricanes
1324666,2023-01-15,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Sydney Sixers
1324667,2023-01-16,Melbourne Cricket Ground,Melbourne Stars,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
